demand_class,abc_class,stock_risk,promo_influence,recommended_action,sku_count,total_qty,avg_weekly_velocity,avg_coverage_weeks
Lumpy,B,high,unknown,use_intermittent_or_hierarchical_forecast,32,4111.0,1.2682291666666667,0.7042621307746478
Intermittent,C,low,unknown,cold_start_attribute_pooling,446,4076.0,0.6367713004484304,273.72355370978613
Intermittent,A,low,low,use_intermittent_or_hierarchical_forecast,2,3559.0,0.5,48.0
Smooth,A,low,low,monitor_with_weekly_baseline,1,3094.0,8.25,28.363636363636363
Smooth,A,low,high,pre-position_inventory_before_promotion_window,1,3091.0,5.833333333333333,26.742857142857144
Erratic,A,medium,unknown,monitor_with_weekly_baseline,2,2923.0,29.041666666666664,4.897527200791297
Intermittent,B,low,unknown,cold_start_attribute_pooling,34,2838.0,5.615196078431373,47.99034998866756
Lumpy,A,medium,high,pre-position_inventory_before_promotion_window,1,2803.0,8.416666666666666,7.128712871287129
Smooth,A,low,unknown,cold_start_attribute_pooling,6,2603.0,33.86111111111111,87.62275636034383
Intermittent,C,high,unknown,use_intermittent_or_hierarchical_forecast,95,2175.0,0.2868421052631579,0.35656553972343447
Intermittent,A,low,medium,use_intermittent_or_hierarchical_forecast,1,2114.0,5.916666666666667,21.633802816901408
Erratic,A,low,unknown,cold_start_attribute_pooling,5,1870.0,28.78333333333333,31.58223378249746
Smooth,A,low,medium,monitor_with_weekly_baseline,1,1866.0,15.666666666666666,31.97872340425532
Lumpy,B,medium,unknown,use_intermittent_or_hierarchical_forecast,14,1761.0,1.4285714285714286,5.652501824131603
Lumpy,A,high,medium,replenish_or_rebalance_before_next_sales_cycle,1,1744.0,0.08333333333333333,0.0
Lumpy,A,low,unknown,cold_start_attribute_pooling,4,1188.0,9.770833333333332,29.5153971794954
Intermittent,C,medium,unknown,use_intermittent_or_hierarchical_forecast,42,1099.0,0.47817460317460314,5.338466295609153
Smooth,A,medium,unknown,cold_start_attribute_pooling,1,945.0,76.41666666666667,7.563794983642311
Erratic,A,high,unknown,replenish_or_rebalance_before_next_sales_cycle,2,928.0,22.833333333333332,1.9957356076759063
Intermittent,B,high,unknown,cold_start_attribute_pooling,8,830.0,6.96875,2.7823841596742955
Smooth,B,low,unknown,cold_start_attribute_pooling,7,797.0,9.857142857142858,45.105413406955776
Lumpy,B,low,unknown,cold_start_attribute_pooling,7,757.0,7.988095238095238,22.67316796095048
Erratic,A,medium,unknown,cold_start_attribute_pooling,1,588.0,24.416666666666668,5.324232081911263
Lumpy,C,high,unknown,use_intermittent_or_hierarchical_forecast,15,455.0,0.2222222222222222,0.3333333333333333
Lumpy,B,high,unknown,cold_start_attribute_pooling,5,393.0,5.416666666666666,1.7262006790773914
Intermittent,B,medium,unknown,cold_start_attribute_pooling,3,353.0,7.6944444444444455,6.556112673759732
Lumpy,A,medium,unknown,cold_start_attribute_pooling,1,247.0,12.0,7.833333333333333
Intermittent,C,medium,unknown,cold_start_attribute_pooling,8,206.0,1.8125,5.896827722848594
Smooth,B,high,unknown,cold_start_attribute_pooling,1,193.0,14.333333333333334,3.2093023255813953
Intermittent,C,high,unknown,cold_start_attribute_pooling,18,144.0,0.5972222222222222,0.47980859010270777
Lumpy,C,high,unknown,cold_start_attribute_pooling,5,127.0,2.1333333333333333,1.2539883040935673
Lumpy,C,low,unknown,cold_start_attribute_pooling,4,119.0,2.5625,124.86674669867946
Lumpy,C,medium,unknown,use_intermittent_or_hierarchical_forecast,3,99.0,0.5555555555555555,4.787878787878788
Lumpy,C,medium,unknown,cold_start_attribute_pooling,2,86.0,3.75,5.599800895968144
Lumpy,B,medium,unknown,cold_start_attribute_pooling,1,54.0,4.666666666666667,6.642857142857142
Smooth,C,low,unknown,cold_start_attribute_pooling,3,42.0,1.1944444444444444,292.6153846153846
Insufficient,No Sales,low,unknown,cold_start_attribute_pooling,24,0.0,0.0,
